company,fgf21,combo,total_cit,angle
Amgen,10,0,10,Co-dev (기전 역량 보유)
Eli Lilly,7,0,7,Co-dev (기전 역량 보유)
Pfizer,4,0,4,Co-dev (기전 역량 보유)
Gilead,0,0,0,LO (역량 gap + 관심)
Merck,0,0,0,LO (역량 gap + 관심)
Boehringer,0,0,0,LO (역량 gap + 관심)
Novo Nordisk,0,0,0,LO (역량 gap + 관심)
Roche,0,0,0,LO (역량 gap + 관심)
GSK,0,0,0,LO (역량 gap + 관심)
Madrigal,0,0,0,LO (역량 gap + 관심)
Viking,0,0,0,관망
Intercept,0,0,0,관망
