company,access_score,realizable_rev_M,p3_trials,note
Madrigal,1.0,8000,,
Akero,0.75,6000,,
Viking,0.5,4000,,
89bio,0.5,4000,,
Inventiva,0.25,2000,,
Terns,0.0,0,,
