company,copper,chelation,total_cit,angle
Takeda,38,10,48,Co-dev (기전 역량 보유)
Mallinckrodt,20,15,35,Co-dev (기전 역량 보유)
Novartis,26,4,30,Co-dev (기전 역량 보유)
Sanofi,14,3,17,Co-dev (기전 역량 보유)
AstraZeneca,6,8,14,Co-dev (기전 역량 보유)
GSK,7,3,10,Co-dev (기전 역량 보유)
Vertex,4,2,6,Co-dev (기전 역량 보유)
Ipsen,1,4,5,Co-dev (기전 역량 보유)
Ultragenyx,2,0,2,LO (역량 gap + 관심)
Chiesi,0,0,0,관망
Recordati,0,0,0,관망
Orphalan,0,0,0,LO (역량 gap + 관심)
