rank,company,license_out_score,gap,interest,activity
1,Roche,0.8542,1.0,1.0,0.417
2,Amgen,0.5708,0.619,0.708,0.167
3,BMS,0.55,0.405,0.542,0.583
4,J&J,0.5167,0.226,0.292,1.0
5,AstraZeneca,0.4875,0.25,0.167,1.0
6,UCB,0.4417,0.071,0.292,0.917
7,Takeda,0.3708,0.143,0.042,0.833
8,Novartis,0.3625,0.333,0.417,0.083
9,Sanofi,0.3208,0.274,0.0,0.5
10,Pfizer,0.2083,0.238,0.083,0.0
11,GSK,0.2042,0.19,0.125,0.0
12,AbbVie,0.1958,0.036,0.0,0.333
13,Lundbeck,0.125,0.012,0.0,0.083
