rank,company,license_out_score,gap,interest,activity
1,Roche,0.7154,1.0,0.051,1.0
2,Novo Nordisk,0.5366,0.084,1.0,0.429
3,Amgen,0.5246,0.483,0.256,0.714
4,Eli Lilly,0.4556,0.096,0.479,0.714
5,Boehringer Ingelheim,0.3777,0.421,0.077,0.429
6,Merck,0.2886,0.371,0.077,0.143
7,Pfizer,0.2819,0.191,0.145,0.286
8,Zealand Pharma,0.2729,0.062,0.504,0.0
9,AstraZeneca,0.2471,0.23,0.103,0.143
10,Novartis,0.2269,0.326,0.043,0.0
