company,acat1,glp1,total_cit,angle
Novo Nordisk,2,115,117,Co-dev (기전 역량 보유)
Zealand Pharma,0,59,59,Co-dev (기전 역량 보유)
Eli Lilly,3,53,56,Co-dev (기전 역량 보유)
Amgen,3,27,30,Co-dev (기전 역량 보유)
Pfizer,7,10,17,Co-dev (기전 역량 보유)
AstraZeneca,0,12,12,Co-dev (기전 역량 보유)
Boehringer Ingelheim,4,5,9,Co-dev (기전 역량 보유)
Merck,2,7,9,Co-dev (기전 역량 보유)
Roche,2,4,6,Co-dev (기전 역량 보유)
Novartis,0,5,5,Co-dev (기전 역량 보유)
Viking Therapeutics,0,1,1,관망
Structure Therapeutics,0,0,0,관망
