rank,company,license_out_score,gap,interest,activity
1,Roche,0.5758,1.0,0.211,0.25
2,Novartis,0.5647,0.292,1.0,0.25
3,BMS,0.4647,0.466,0.256,0.5
4,J&J,0.433,0.18,0.067,1.0
5,Amgen,0.3655,0.404,0.067,0.417
6,Gilead,0.3596,0.118,0.033,0.833
7,AstraZeneca,0.3264,0.211,0.022,0.583
8,Merck,0.3094,0.186,0.133,0.417
9,AbbVie,0.2697,0.068,0.0,0.583
10,Kyowa Kirin,0.2281,0.068,0.0,0.417
11,Syndax,0.1725,0.0,0.033,0.25
12,Sumitomo Pharma,0.152,0.025,0.144,0.0
