rank,company,license_out_score,gap,interest,activity
1,Roche,0.75,1.0,1.0,0.0
2,BMS,0.5696,0.607,0.857,0.0
3,Boehringer Ingelheim,0.5244,0.321,0.762,0.333
4,Amgen,0.4839,0.321,0.071,1.0
5,Novartis,0.4482,0.321,0.786,0.0
6,Takeda,0.4202,0.071,0.429,0.667
7,Sanofi,0.3952,0.143,0.262,0.667
8,CSL,0.3077,0.036,0.095,0.667
9,AbbVie,0.2571,0.429,0.024,0.0
10,Novo Nordisk,0.2536,0.357,0.095,0.0
11,Bayer,0.2286,0.143,0.262,0.0
12,AstraZeneca,0.1929,0.143,0.143,0.0
