company,btk,bcr_lymphoma,total_cit,angle
AbbVie,106,0,106,Co-dev (기전 역량 보유)
Roche,42,25,67,Co-dev (기전 역량 보유)
BMS,41,19,60,Co-dev (기전 역량 보유)
AstraZeneca,18,9,27,Co-dev (기전 역량 보유)
Sanofi,23,2,25,Co-dev (기전 역량 보유)
J&J,18,5,23,Co-dev (기전 역량 보유)
BeiGene,16,0,16,Co-dev (기전 역량 보유)
Gilead,16,0,16,Co-dev (기전 역량 보유)
Merck,12,2,14,Co-dev (기전 역량 보유)
Novartis,6,3,9,Co-dev (기전 역량 보유)
Eli Lilly,6,1,7,Co-dev (기전 역량 보유)
Pfizer,6,1,7,Co-dev (기전 역량 보유)
Takeda,4,2,6,Co-dev (기전 역량 보유)
Ono,3,0,3,Co-dev (기전 역량 보유)
