rank,company,license_out_score,gap,interest,activity
1,Roche,0.5008,1.0,0.1,0.083
2,Merck,0.4877,0.161,1.0,0.125
3,BMS,0.4432,0.403,0.5,0.208
4,Takeda,0.4133,0.124,0.9,0.0
5,J&J,0.4046,0.156,0.0,1.0
6,Eisai,0.3101,0.086,0.6,0.0
7,Gilead,0.292,0.102,0.0,0.625
8,AstraZeneca,0.289,0.183,0.0,0.5
9,GSK,0.276,0.097,0.3,0.208
10,Amgen,0.2744,0.349,0.0,0.208
11,Boehringer Ingelheim,0.2309,0.199,0.1,0.125
12,Pfizer,0.2206,0.14,0.1,0.167
13,Novartis,0.2184,0.253,0.1,0.0
